James Ennis III,6.7,1,0.7,0.3,4
James Harden,29.1,11.2,1.5,0.5,8.1
James Johnson,12.8,3.6,1,1.1,4.9
JaMychal Green,8.9,1.1,0.6,0.4,7.1
Jared Dudley,6.8,1.9,0.7,0.3,3.5
Jason Smith,5.7,0.5,0.3,0.7,3.5
Jason Terry,4.1,1.3,0.6,0.3,1.4
JaVale McGee,6.1,0.2,0.3,0.9,3.2
Jaylen Brown,6.6,0.8,0.5,0.2,2.8
Jeff Green,9.2,1.2,0.5,0.2,3.1
Jeff Teague,15.3,7.8,1.2,0.4,4
Jerami Grant,5.5,0.6,0.4,1,2.6
Jeremy Lamb,9.7,1.2,0.4,0.4,4.3
Jerian Grant,5.9,1.9,0.8,0.1,1.8
Jimmy Butler,23.9,5.5,1.9,0.4,6.2
JJ Redick,15,1.4,0.7,0.2,2.2
Joe Ingles,7.1,2.7,1.2,0.1,3.2
Joe Johnson,9.2,1.8,0.5,0.2,3.1
Joffrey Lauvergne,5.4,1,0.4,0.1,3.6
John Henson,6.8,1,0.5,1.3,5.1
John Wall,23.1,10.7,2,0.6,4.2
Jon Leuer,10.2,1.5,0.4,0.3,5.4
Jonas Jerebko,3.8,0.9,0.3,0.2,3.5
Jonas Valanciunas,12,0.7,0.5,0.8,9.5
Jonathon Simmons,6.2,1.6,0.6,0.3,2.1
Jordan Clarkson,14.7,2.6,1.1,0.1,3
Jrue Holiday,15.4,7.3,1.5,0.7,3.9
Juan Hernangomez,4.9,0.5,0.5,0.2,3
Julius Randle,13.2,3.6,0.7,0.5,8.6
Justin Anderson,7.1,0.9,0.6,0.3,3.3
Justin Hamilton,6.9,0.9,0.5,0.7,4.1
Justin Holiday,7.7,1.2,0.8,0.4,2.7
Jusuf Nurkic,10.2,1.9,0.8,1.1,7.2
Karl-Anthony Towns,25.1,2.7,0.7,1.3,12.3
Kawhi Leonard,25.5,3.5,1.8,0.7,5.8
Kelly Olynyk,9,2,0.6,0.4,4.8
Kelly Oubre Jr.,6.3,0.6,0.7,0.2,3.3
Kemba Walker,23.2,5.5,1.1,0.3,3.9
Kenneth Faried,9.6,0.9,0.7,0.7,7.6
Kent Bazemore,11,2.4,1.3,0.7,3.2
Kentavious Caldwell-Pope,13.8,2.5,1.2,0.2,3.3
Kevin Durant,25.1,4.8,1.1,1.6,8.3
Kevin Love,19,1.9,0.9,0.3,11.1
Klay Thompson,22.3,2.1,0.8,0.5,3.7
Kosta Koufos,6.6,0.7,0.5,0.7,5.7
Kris Dunn,3.8,2.4,1,0.5,2.1
Kristaps Porzingis,18.1,1.5,0.7,1.9,7.2
Kyle Anderson,3.4,1.3,0.7,0.4,2.9
Kyle Korver,10.1,1.6,0.5,0.3,2.8
Kyle Lowry,22.4,7,1.5,0.3,4.8
Kyle O'Quinn,6.3,1.5,0.5,1.3,5.6
Kyrie Irving,25.2,5.8,1.1,0.3,3.2
LaMarcus Aldridge,17.3,1.9,0.6,1.2,7.3
Langston Galloway,7.9,1.3,0.6,0.1,2.1
Larry Nance Jr.,7.1,1.5,1.3,0.6,5.9
Lavoy Allen,2.9,0.9,0.3,0.4,3.6
Leandro Barbosa,6.3,1.2,0.5,0.1,1.6
LeBron James,26.4,8.7,1.2,0.6,8.6
Lou Williams,17.5,3,1,0.3,2.5
Luc Mbah a Moute,6.1,0.5,1,0.4,2.1
Luke Babbitt,4.8,0.5,0.3,0.2,2.1
Malcolm Brogdon,10.2,4.2,1.1,0.2,2.8
Malcolm Delaney,5.4,2.6,0.5,0,1.7
Manu Ginobili,7.5,2.7,1.2,0.2,2.3
Marc Gasol,19.5,4.6,0.9,1.3,6.3
Marcin Gortat,10.8,1.5,0.5,0.7,10.4
Marco Belinelli,10.5,2,0.6,0.1,2.4
Marcus Morris,14,2,0.7,0.3,4.6
Marcus Smart,10.6,4.6,1.6,0.4,3.9
Mario Hezonja,4.9,1,0.5,0.2,2.2
Markieff Morris,14,1.7,1.1,0.6,6.5
Marquese Chriss,9.2,0.7,0.8,0.8,4.2
Marreese Speights,8.7,0.8,0.3,0.5,4.5
Marvin Williams,11.2,1.4,0.8,0.7,6.6
Mason Plumlee,10.4,3.5,0.8,1.1,7.5
Matt Barnes,7.1,2.6,0.7,0.3,5.2
Matthew Dellavedova,7.6,4.7,0.7,0,1.9
Maurice Harkless,10,1.1,1.1,0.9,4.4
Meyers Leonard,5.4,1,0.2,0.4,3.2
Michael Kidd-Gilchrist,9.2,1.4,1,0.9,7
Mike Conley,20.5,6.3,1.3,0.3,3.5
